id,mode,start_timestamp,end_timestamp,miles,start_date,start_time,end_date,end_time
1612,/trajectory_follow/ackermann_cmd,2017-04-26 22:34:00,2017-04-26 22:35:00,0.0102498,2017-04-26,22:34:00,2017-04-26,22:35:00
1613,/dbw_joy/ackermann_cmd,2017-04-26 22:35:00,2017-04-26 22:35:00,0.0190109,2017-04-26,22:35:00,2017-04-26,22:35:00
1614,/trajectory_follow/ackermann_cmd,2017-04-26 22:35:00,2017-04-26 22:35:00,0.0326997,2017-04-26,22:35:00,2017-04-26,22:35:00
1615,/dbw_joy/ackermann_cmd,2017-04-26 22:46:00,2017-04-26 22:54:00,0.547664,2017-04-26,22:46:00,2017-04-26,22:54:00
1616,/dbw_joy/ackermann_cmd,2017-04-26 22:54:00,2017-04-26 22:58:00,0.0190533,2017-04-26,22:54:00,2017-04-26,22:58:00
1617,/trajectory_follow/ackermann_cmd,2017-04-26 22:46:00,2017-04-26 22:46:00,0.0102942,2017-04-26,22:46:00,2017-04-26,22:46:00
1618,/dbw_joy/ackermann_cmd,2017-04-26 22:58:00,2017-04-26 23:02:00,0.00235226,2017-04-26,22:58:00,2017-04-26,23:02:00
1619,/trajectory_follow/ackermann_cmd,2017-04-26 23:02:00,2017-04-26 23:04:00,0.17893900000000001,2017-04-26,23:02:00,2017-04-26,23:04:00
1620,/dbw_joy/ackermann_cmd,2017-04-26 23:04:00,2017-04-26 23:04:00,0.00357438,2017-04-26,23:04:00,2017-04-26,23:04:00
1621,/trajectory_follow/ackermann_cmd,2017-04-26 23:04:00,2017-04-26 23:06:00,0.092275,2017-04-26,23:04:00,2017-04-26,23:06:00
1622,/dbw_joy/ackermann_cmd,2017-04-26 23:06:00,2017-04-26 23:06:00,0.017016099999999996,2017-04-26,23:06:00,2017-04-26,23:06:00
1623,/trajectory_follow/ackermann_cmd,2017-04-26 23:06:00,2017-04-26 23:07:00,0.0776438,2017-04-26,23:06:00,2017-04-26,23:07:00
1624,/trajectory_follow/ackermann_cmd,2017-04-26 23:08:00,2017-04-26 23:09:00,0.0340056,2017-04-26,23:08:00,2017-04-26,23:09:00
1625,/dbw_joy/ackermann_cmd,2017-04-26 23:09:00,2017-04-26 23:09:00,0.0197739,2017-04-26,23:09:00,2017-04-26,23:09:00
1626,/dbw_joy/ackermann_cmd,2017-04-26 23:08:00,2017-04-26 23:08:00,0.00478684,2017-04-26,23:08:00,2017-04-26,23:08:00
1627,/trajectory_follow/ackermann_cmd,2017-04-26 23:07:00,2017-04-26 23:08:00,0.0618125,2017-04-26,23:07:00,2017-04-26,23:08:00
1628,/trajectory_follow/ackermann_cmd,2017-04-26 23:09:00,2017-04-26 23:10:00,0.0903559,2017-04-26,23:09:00,2017-04-26,23:10:00
1629,/dbw_joy/ackermann_cmd,2017-04-26 23:10:00,2017-04-26 23:10:00,0.0191705,2017-04-26,23:10:00,2017-04-26,23:10:00
1630,/trajectory_follow/ackermann_cmd,2017-04-26 23:10:00,2017-04-26 23:17:00,0.467312,2017-04-26,23:10:00,2017-04-26,23:17:00
1631,/dbw_joy/ackermann_cmd,2017-04-26 23:17:00,2017-04-26 23:17:00,0.00254561,2017-04-26,23:17:00,2017-04-26,23:17:00
1632,/trajectory_follow/ackermann_cmd,2017-04-26 23:17:00,2017-04-26 23:30:00,0.7492840000000001,2017-04-26,23:17:00,2017-04-26,23:30:00
1633,/dbw_joy/ackermann_cmd,2017-04-26 23:30:00,2017-04-26 23:30:00,9.4009e-06,2017-04-26,23:30:00,2017-04-26,23:30:00
1634,/trajectory_follow/ackermann_cmd,2017-04-26 23:30:00,2017-04-26 23:30:00,0.00490575,2017-04-26,23:30:00,2017-04-26,23:30:00
1635,/dbw_joy/ackermann_cmd,2017-04-27 18:38:00,2017-04-27 18:40:00,0.00266655,2017-04-27,18:38:00,2017-04-27,18:40:00
1636,/trajectory_follow/ackermann_cmd,2017-04-27 18:40:00,2017-04-27 18:40:00,0.0130642,2017-04-27,18:40:00,2017-04-27,18:40:00
1637,/dbw_joy/ackermann_cmd,2017-04-27 18:40:00,2017-04-27 18:40:00,0.00568196,2017-04-27,18:40:00,2017-04-27,18:40:00
1638,/trajectory_follow/ackermann_cmd,2017-04-27 18:40:00,2017-04-27 18:41:00,0.07538989999999998,2017-04-27,18:40:00,2017-04-27,18:41:00
1639,/dbw_joy/ackermann_cmd,2017-04-27 18:41:00,2017-04-27 18:41:00,0.00225927,2017-04-27,18:41:00,2017-04-27,18:41:00
1640,/trajectory_follow/ackermann_cmd,2017-04-27 18:41:00,2017-04-27 18:48:00,0.155674,2017-04-27,18:41:00,2017-04-27,18:48:00
1641,/dbw_joy/ackermann_cmd,2017-04-27 18:48:00,2017-04-27 18:49:00,0.0728057,2017-04-27,18:48:00,2017-04-27,18:49:00
1642,/trajectory_follow/ackermann_cmd,2017-04-27 18:50:00,2017-04-27 18:50:00,0.0600596,2017-04-27,18:50:00,2017-04-27,18:50:00
1643,/trajectory_follow/ackermann_cmd,2017-04-27 18:49:00,2017-04-27 18:50:00,0.0471989,2017-04-27,18:49:00,2017-04-27,18:50:00
1644,/dbw_joy/ackermann_cmd,2017-04-27 18:50:00,2017-04-27 18:54:00,0.135977,2017-04-27,18:50:00,2017-04-27,18:54:00
1645,/dbw_joy/ackermann_cmd,2017-04-26 23:30:00,2017-04-26 23:30:00,0.013104399999999999,2017-04-26,23:30:00,2017-04-26,23:30:00
1646,/trajectory_follow/ackermann_cmd,2017-04-26 23:30:00,2017-04-26 23:31:00,0.117434,2017-04-26,23:30:00,2017-04-26,23:31:00
1647,/dbw_joy/ackermann_cmd,2017-04-26 23:31:00,2017-04-26 23:32:00,0.00210352,2017-04-26,23:31:00,2017-04-26,23:32:00
1648,/trajectory_follow/ackermann_cmd,2017-04-26 23:32:00,2017-04-26 23:36:00,0.0198202,2017-04-26,23:32:00,2017-04-26,23:36:00
1649,/dbw_joy/ackermann_cmd,2017-04-26 23:36:00,2017-04-26 23:36:00,0.017712799999999997,2017-04-26,23:36:00,2017-04-26,23:36:00
1650,/trajectory_follow/ackermann_cmd,2017-04-26 23:36:00,2017-04-26 23:36:00,0.010603,2017-04-26,23:36:00,2017-04-26,23:36:00
1651,/dbw_joy/ackermann_cmd,2017-04-26 23:36:00,2017-04-26 23:37:00,0.0205064,2017-04-26,23:36:00,2017-04-26,23:37:00
1652,/trajectory_follow/ackermann_cmd,2017-04-26 23:37:00,2017-04-26 23:58:00,0.119554,2017-04-26,23:37:00,2017-04-26,23:58:00
1653,/trajectory_follow/ackermann_cmd,2017-04-26 23:58:00,2017-04-26 23:59:00,0.0461899,2017-04-26,23:58:00,2017-04-26,23:59:00
1654,/dbw_joy/ackermann_cmd,2017-04-26 23:59:00,2017-04-26 23:59:00,0.0201306,2017-04-26,23:59:00,2017-04-26,23:59:00
1655,/trajectory_follow/ackermann_cmd,2017-04-26 23:59:00,2017-04-27 00:00:00,0.08531169999999999,2017-04-26,23:59:00,2017-04-27,00:00:00
1656,/trajectory_follow/ackermann_cmd,2017-04-27 00:00:00,2017-04-27 00:04:00,0.130832,2017-04-27,00:00:00,2017-04-27,00:04:00
1657,/dbw_joy/ackermann_cmd,2017-04-27 00:04:00,2017-04-27 00:06:00,0.0684114,2017-04-27,00:04:00,2017-04-27,00:06:00
1658,None,2017-04-27 00:06:00,2017-04-27 17:14:00,0.0,2017-04-27,00:06:00,2017-04-27,17:14:00
1659,/trajectory_follow/ackermann_cmd,2017-04-27 17:14:00,2017-04-27 17:20:00,0.161217,2017-04-27,17:14:00,2017-04-27,17:20:00
1660,/dbw_joy/ackermann_cmd,2017-04-27 17:20:00,2017-04-27 17:22:00,0.0456665,2017-04-27,17:20:00,2017-04-27,17:22:00
1661,/trajectory_follow/ackermann_cmd,2017-04-27 17:22:00,2017-04-27 17:25:00,0.18529400000000001,2017-04-27,17:22:00,2017-04-27,17:25:00
1662,/dbw_joy/ackermann_cmd,2017-04-27 17:25:00,2017-04-27 17:25:00,0.000614616,2017-04-27,17:25:00,2017-04-27,17:25:00
1663,/trajectory_follow/ackermann_cmd,2017-04-27 17:25:00,2017-04-27 18:38:00,0.22625399999999998,2017-04-27,17:25:00,2017-04-27,18:38:00
1664,/dbw_joy/ackermann_cmd,2017-04-27 18:38:00,2017-04-27 18:38:00,0.0,2017-04-27,18:38:00,2017-04-27,18:38:00
